entity,freq
shoe,1406
jacket,667
superdry,35
one,1070
time,1183
jean,402
timely,2
pant,1014
bag,265
day,1548
monday,105
way,206
hour,54
today,1007
week,504
once,23
place,147
trouser,152
march,143
shirt,303
set,8
end,78
date,37
nike,180
fabric,157
seam,484
friday,64
blouse,207
while,20
tomorrow,34
suit,6
leather,116
adidas,126
reebok,39
bra,59
sock,39
year,119
back,130
dress,434
january,45
esprit,54
beginning,40
october,15
month,189
life,5
sneaker,145
saturday,70
afternoon,9
clock,4
evening,134
tuesday,52
garment,47
sweater,243
jersey,10
zipper,111
sunday,28
rest,127
night,27
button,61
wear,116
lace,7
skirt,83
april,80
clothes,106
thursday,57
item,1
winter,10
helmet,1
decade,1
denim,35
leg,13
thread,81
mango,116
boot,132
morning,64
foot,13
holiday,32
wednesday,54
period,40
weekend,61
moment,9
vacation,9
glove,13
panty,9
sunglass,29
office,1
short,33
mom,1
topshop,15
man,1
return,1
room,2
november,9
december,19
part,15
middle,6
break,3
next,39
home,14
noon,5
clothing,12
gmx,1
scarf,16
karl,1
point,4
summer,4
gown,5
coat,18
wait,1
clark,1
could,7
heidlmair,1
tunic,1
blazer,1
underwear,6
seamstress,3
other,14
glass,25
season,7
birthday,2
may,16
belt,3
new,9
september,8
lacoste,22
laundry,1
kullmann,1
past,3
first,8
twice,1
thigh,3
plastic,22
cloth,10
length,1
benetton,3
khaki,6
fact,5
hat,10
van,8
thing,6
naf,1
start,5
yesterday,1
skin,2
street,3
long,8
now,1
pier,8
mon,2
feb,2
late,5
money,14
hair,2
face,7
rebryk,1
piece,1
rohlf,1
february,15
half,2
again,1
look,6
even,12
top,7
daily,4
logo,3
richard,1
two,2
seamless,1
good,4
frame,1
minute,8
them,5
heel,4
work,4
min,1
only,3
material,4
hilfiger,3
daypack,2
reeboks,1
clothesline,1
mackel,1
christmas,2
eve,1
working,7
turn,1
row,1
occasion,1
hood,1
adidasrock,1
another,3
versace,3
pair,2
walk,4
north,4
tommy,5
step,5
yarn,2
basis,1
vest,5
wearing,4
xalando,1
jack,1
hummel,3
silk,1
longer,1
roxy,1
second,1
trunk,3
tie,4
armpit,1
velvet,2
spring,1
7,2
summery,1
lotto,2
kaiser,1
strap,1
balm,2
joni,1
weekday,1
mid,1
rise,1
cruz,1
suitcase,3
timeframe,1
anna,4
tamaris,3
hey,1
august,1
sleeve,2
elbow,1
backpack,4
cargo,2
leatherette,1
adidasschuh,1
sophie,1
hoe,1
-,3
xxxxxxxxxx,1
nightwear,3
kristin,1
lipstick,1
loop,1
tom,1
tailor,1
donika,1
robe,2
johan,1
becker,1
flat,1
rubber,2
easter,1
7th,1
hem,1
tommy_Hilfiger,3
jewelery,1
rushidova,1
samba,1
space,1
nightgown,1
others,1
fuhrer,1
hajrizaj,1
1,2
mang,1
jumper,1
riemchenballerina,1
dressmaker,1
breath,1
person,1
moschino,1
run,2
floor,3
grosswarasdorf,1
wool,1
wearer,1
lunchtime,1
lohri,1
age,1
bank,1
hannover,1
ground,1
sylke,1
ludwigsfelde,1
jana,1
well,1
mahnung,1
tomato,1
am,2
zalado,1
era,1
cap,1
gabor,1
field,2
k,1
siwss,1
fiber,1
cover,1
bed,1
sun,2
air,1
trainer,3
lip,1
12th,1
costume,1
21st,1
puffer,1
weekender,1
door,1
o11,1
york,1
hermes,2
dark,1
lindbergh,1
garmin,1
wood,1
mustang,1
20th,1
gipsy,1
janine,1
textile,1
weather,1
ribbon,1
michael,1
levi,1
mile,1
hilfigerzeichen,1
ow,1
wardrobe,1
cross,1
reebokxxxxx,1
today_Hilfiger,1
14th,1
